name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
Gary Neal,SG,LASALLE,106,NA,21.7,3.9,0.427,0.359,0.827,2,0
Gary Payton,PG,OREGONST,63,35.3,14.7,7.7,0.485,0.302,0.652,3.3,0.364
George Hill,PG,IUPUI,95,33.3,17,5.8,0.529,0.404,0.785,16.9,0.477
Georges Niang,PF,IOWAST,138,29.8,16.1,5.2,0.5,0.375,0.763,0.9,0.25
Gerald Henderson,SG,DUKE,103,NA,12.3,4.2,0.458,0.329,0.706,9.2,0.423
Glenn Robinson,SF,MICHIGAN,76,33,12,4.9,0.525,0.313,0.718,6.1,0.467
Gordon Hayward,SF,BUTLER,69,33.5,14.4,7.4,0.47,0.369,0.824,21.9,0.471
Gorgui Dieng,PF,LOUISVILLE,102,27.3,8.3,7.9,0.545,0.333,0.64,10,0.502
Greg Monroe,C,GEORGETOWN,65,34.2,14.5,8.2,0.543,0.273,0.677,11.7,0.533
Greivis Vasquez,PG,MARYLAND,136,33.9,16,4.8,0.425,0.329,0.828,2.3,0.25
Harrison Barnes,PF,UNC,75,29.3,16.3,5.5,0.43,0.349,0.734,19.2,0.468
Hassan Whiteside,C,MARSHALL,34,26.1,13.1,8.9,0.524,0.6,0.588,17,0.557
Henry Ellenson,PF,MARQUETTE,33,33.5,17,9.7,0.446,0.288,0.749,3.2,0.359
Hollis Thompson,SG,GEORGETOWN,99,24.6,8.7,4.1,0.478,0.44,0.676,5.1,0.385
Ian Clark,SG,BELMONT,133,28.7,14.4,2.9,0.484,0.425,0.81,6.8,0.487
Iman Shumpert,SG,GATECH,92,31.1,12.7,4.5,0.396,0.305,0.738,7.5,0.411
Isaiah Canaan,SG,MURRAYST,132,29.4,15.5,2.8,0.45,0.419,0.803,4.6,0.364
Isaiah Taylor,PG,TEXAS,57,31.2,14.2,2.9,0.412,0.3,0.822,0.8,0.143
Isaiah Thomas,PG,WASHINGTON,105,31.5,16.4,3.5,0.426,0.325,0.713,28.9,0.463
Isaiah Whitehead,PG,SETONHALL,56,30.5,15.8,3.7,0.375,0.359,0.757,7.4,0.402
Ish Smith,PG,WAKE,121,36.8,9.2,3.7,0.425,0.301,0.484,9.4,0.439
J.J. Barea,PG,NEASTERN,113,33.3,20.3,3.9,0.404,0.321,0.764,10.9,0.414
J.J. Redick,SG,DUKE,139,34,19.9,2.7,0.433,0.406,0.912,15,0.445
Jabari Parker,PF,DUKE,35,30.7,19.1,8.7,0.473,0.358,0.748,20.1,0.49
Jae Crowder,SF,MARQUETTE,72,30.2,14.6,7.6,0.492,0.35,0.683,13.9,0.463
Jahlil Okafor,C,DUKE,38,30.1,17.3,8.5,0.664,NA,0.51,11.8,0.514
Jake Layman,SF,MARYLAND,141,27.9,10.2,4.8,0.445,0.362,0.759,2.2,0.292
Jakob Poeltl,C,UTAH,70,26.9,13.3,8,0.658,0,0.605,3.1,0.583
Jamal Crawford,SG,MICHIGAN,17,33.9,16.6,2.8,0.412,0.327,0.784,12.3,0.413
Jamal Murray,SG,KENTUCKY,36,35.2,20,5.2,0.454,0.408,0.783,9.9,0.404
Jameer Nelson,PG,STJOSEPHS,125,34.5,16.8,4.6,0.454,0.365,0.786,9.2,0.444
James Harden,PG,ARIZONAST,69,NA,19,5.4,0.506,0.376,0.755,29.1,0.44
James Johnson,PF,WAKE,61,NA,14.8,8.3,0.515,0.296,0.693,12.8,0.479
James Jones,SF,MIAMIFL,122,27.5,11.1,5,0.426,0.383,0.831,2.8,0.478
James Michael McAdoo,PF,UNC,108,25,11.4,5.9,0.447,0,0.569,2.8,0.53
James Young,SG,KENTUCKY,40,32.4,14.3,4.3,0.407,0.349,0.706,2.3,0.431
JaMychal Green,PF,ALABAMA,123,28,13.5,7.4,0.519,0.176,0.711,8.9,0.5
Jared Dudley,PF,BOSTONCOLL,130,36.4,15.9,7.2,0.504,0.365,0.731,6.8,0.454
