name,school,games,pts,games.1,mpg,pts.1,reb,ast,fgpercent,x3ppercent,ftpercent
Kentavious Caldwell-Pope,GEORGIA,64,15.8,64,33.0,15.8,6.1,1.5,.415,.339,.752
Isaiah Canaan,MURRAYST,132,15.5,132,29.4,15.5,2.8,2.9,.450,.419,.803
DeMarre Carroll,VANDY,134,11.2,134,,11.2,6.0,1.6,.535,.281,.603
Vince Carter,UNC,103,12.3,103,23.0,12.3,4.5,1.9,.547,.368,.705
Michael Carter-Williams,SYRACUSE,66,8.2,66,25.4,8.2,3.6,5.2,.398,.307,.679
Willie Cauley-Stein,KENTUCKY,105,8.0,105,24.5,8.0,6.2,0.9,.593,,.508
Wilson Chandler,DEPAUL,59,12.9,59,31.1,12.9,7.1,1.2,.445,.303,.659
Marquese Chriss,WASHINGTON,34,13.7,34,24.9,13.7,5.4,0.8,.530,.350,.682
Rakeem Christmas,SYRACUSE,142,7.4,142,22.0,7.4,5.3,0.6,.560,.000,.681
Semaj Christon,XAVIER,64,16.2,64,34.8,16.2,2.8,4.4,.462,.338,.670
Ian Clark,BELMONT,133,14.4,133,28.7,14.4,2.9,2.2,.484,.425,.810
Jordan Clarkson,TULSA,93,15.4,93,31.7,15.4,3.3,2.7,.440,.322,.805
Norris Cole,CLEVST,140,14.1,140,35.0,14.1,3.2,3.3,.435,.321,.826
Darren Collison,UCLA,141,11.6,141,,11.6,2.3,4.1,.478,.439,.850
Nick Collison,KANSAS,142,14.8,142,27.4,14.8,8.0,1.8,.562,.359,.624
Mike Conley,OHIOST,39,11.3,39,31.6,11.3,3.4,6.1,.518,.304,.694
Pat Connaughton,NOTREDAME,139,10.5,139,32.3,10.5,5.9,1.8,.450,.386,.777
Quinn Cook,DUKE,143,11.0,143,28.2,11.0,2.7,3.6,.432,.375,.853
DeMarcus Cousins,KENTUCKY,38,15.1,38,23.5,15.1,9.8,1.0,.558,.167,.604
Robert Covington,TENNST,118,14.8,118,30.0,14.8,7.4,1.2,.476,.422,.802
Allen Crabbe,CALIFORNIA,98,15.7,98,34.7,15.7,5.7,2.2,.446,.382,.819
Jamal Crawford,MICHIGAN,17,16.6,17,33.9,16.6,2.8,4.5,.412,.327,.784
Jordan Crawford,INDIANA,65,15.5,65,32.8,15.5,4.1,2.6,.455,.384,.765
Jae Crowder,MARQUETTE,72,14.6,72,30.2,14.6,7.6,1.8,.492,.350,.683
Dante Cunningham,VILLANOVA,139,9.6,139,,9.6,5.9,1.0,.524,.333,.693
Seth Curry,LIBERTY,141,14.9,141,29.1,14.9,2.8,2.1,.431,.394,.827
Stephen Curry,DAVIDSON,104,25.3,104,,25.3,4.5,3.7,.467,.412,.876
Troy Daniels,VCU,125,7.3,125,16.9,7.3,2.1,0.4,.389,.386,.782
Anthony Davis,KENTUCKY,40,14.2,40,32.0,14.2,10.4,1.3,.623,.150,.709
Deyonta Davis,MICHIGANST,35,7.5,35,18.6,7.5,5.5,0.7,.598,,.605
Ed Davis,UNC,61,9.2,61,27.9,9.2,7.7,0.7,.548,,.623
Dewayne Dedmon,USC,51,7.1,51,22.7,7.1,6.4,0.5,.520,.000,.614
Sam Dekker,WISCONSIN,113,12.1,113,27.9,12.1,5.0,1.3,.493,.348,.695
Matthew Dellavedova,STMARYSCA,136,14.2,136,36.4,14.2,3.4,5.6,.415,.378,.860
Luol Deng,DUKE,37,15.1,37,31.1,15.1,6.9,1.8,.476,.360,.710
DeMar DeRozan,USC,35,13.9,35,,13.9,5.7,1.5,.523,.167,.646
Cheick Diallo,KANSAS,27,3.0,27,7.5,3.0,2.5,0.0,.569,,.556
Gorgui Dieng,LOUISVILLE,102,8.3,102,27.3,8.3,7.9,1.2,.545,.333,.640
Spencer Dinwiddie,COLORADO,86,13.0,86,30.1,13.0,3.3,2.6,.420,.386,.830
Toney Douglas,AUBURN,130,16.8,130,,16.8,3.8,2.6,.442,.376,.802
Andre Drummond,UCONN,34,10.0,34,28.4,10.0,7.6,0.4,.538,.000,.295
Jared Dudley,BOSTONCOLL,130,15.9,130,36.4,15.9,7.2,3.0,.504,.365,.731
Mike Dunleavy,DUKE,104,13.2,104,28.8,13.2,5.8,2.2,.475,.371,.698
Kris Dunn,PROVIDENCE,95,12.8,95,31.5,12.8,5.1,5.8,.450,.354,.693
Kevin Durant,TEXAS,35,25.8,35,35.9,25.8,11.1,1.3,.473,.404,.816
Jarell Eddie,VATECH,123,9.6,123,25.8,9.6,4.6,1.1,.385,.365,.812
Henry Ellenson,MARQUETTE,33,17.0,33,33.5,17.0,9.7,1.8,.446,.288,.749
Wayne Ellington,UNC,115,14.7,115,,14.7,4.1,2.2,.463,.397,.809
Joel Embiid,KANSAS,28,11.2,28,23.1,11.2,8.1,1.4,.626,.200,.685
Tyler Ennis,SYRACUSE,34,12.9,34,35.7,12.9,3.4,5.5,.411,.353,.765
Tyreke Evans,MEMPHIS,37,17.1,37,,17.1,5.4,3.9,.455,.274,.711
Kenneth Faried,MOREHEAD,136,14.8,136,32.5,14.8,12.3,0.9,.569,.250,.583
Jordan Farmar,UCLA,66,13.3,66,32.2,13.3,3.0,5.2,.410,.333,.760
Derrick Favors,GATECH,36,12.4,36,27.5,12.4,8.4,1.0,.611,.000,.629
Kay Felder,OAKLAND,101,17.5,101,35.9,17.5,4.3,7.8,.426,.345,.822
Raymond Felton,UNC,101,12.5,101,33.9,12.5,4.1,6.9,.423,.375,.731
Yogi Ferrell,INDIANA,69,16.8,69,34.8,16.8,3.5,5.2,.449,.418,.843
Dorian Finney-Smith,FLORIDA,64,14.0,64,30.1,14.0,7.4,1.8,.452,.390,.688
Bryn Forbes,MICHIGANST,74,11.3,74,27.1,11.3,1.7,1.2,.467,.458,.827
Randy Foye,VILLANOVA,131,15.0,131,31.3,15.0,4.8,3.2,.399,.329,.781
Tim Frazier,PENNST,135,11.4,135,30.6,11.4,3.9,4.7,.418,.310,.774
Channing Frye,ARIZONA,133,13.5,133,27.7,13.5,7.3,1.3,.562,.261,.759
Langston Galloway,STJOSEPHS,133,15.0,133,35.5,15.0,4.5,2.2,.438,.426,.821
Patricio Garino,GEORGEWASH,73,13.3,73,31.8,13.3,4.7,1.5,.519,.392,.716
Rudy Gay,UCONN,64,13.6,64,29.8,13.6,5.9,1.8,.461,.378,.721
Michael Gbinije,DUKE,120,9.8,120,25.5,9.8,3.1,2.6,.454,.387,.639
Alonzo Gee,ALABAMA,128,12.7,128,,12.7,5.7,1.3,.447,.325,.632
Paul George,FRESNOST,63,15.5,63,33.2,15.5,6.7,2.4,.447,.396,.803
Marcus Georges-Hunt,GATECH,66,15.3,66,31.7,15.3,4.3,2.6,.444,.321,.800
Taj Gibson,USC,105,12.4,105,,12.4,8.5,1.4,.580,,.629
Archie Goodwin,KENTUCKY,33,14.1,33,31.8,14.1,4.6,2.7,.440,.266,.637
Aaron Gordon,ARIZONA,38,12.4,38,31.2,12.4,8.0,2.0,.495,.356,.422
Eric Gordon,INDIANA,32,20.9,32,34.7,20.9,3.3,2.4,.433,.337,.834
Treveon Graham,VCU,140,13.4,140,25.4,13.4,5.8,1.4,.432,.354,.691
Jerami Grant,SYRACUSE,72,7.5,72,21.9,7.5,4.7,0.9,.486,.300,.641
Jerian Grant,NOTREDAME,120,14.5,120,36.1,14.5,2.9,5.8,.436,.345,.790
Danny Green,UNC,145,9.4,145,,9.4,4.1,1.8,.455,.375,.845
Draymond Green,MICHIGANST,145,10.5,145,29.6,10.5,7.6,2.9,.467,.361,.687
JaMychal Green,ALABAMA,123,13.5,123,28.0,13.5,7.4,1.2,.519,.176,.711
Jeff Green,GEORGETOWN,102,13.1,102,33.2,13.1,6.5,3.1,.488,.359,.700
Blake Griffin,OKLAHOMA,68,18.8,68,,18.8,11.8,2.1,.618,.300,.589
Justin Hamilton,IOWAST,96,7.9,96,25.8,7.9,5.2,0.5,.535,.250,.741
A.J. Hammons,PURDUE,132,12.1,132,24.3,12.1,7.0,0.8,.539,.261,.690
Tim Hardaway,MICHIGAN,107,14.3,107,33.3,14.3,4.1,2.1,.425,.343,.724
James Harden,ARIZONAST,69,19.0,69,,19.0,5.4,3.7,.506,.376,.755
Maurice Harkless,STJOHNS,32,15.5,32,36.1,15.5,8.6,1.5,.452,.215,.676
Justin Harper,RICHMOND,137,10.6,137,28.5,10.6,4.8,0.7,.483,.382,.711
Montrezl Harrell,LOUISVILLE,112,11.6,112,26.4,11.6,6.9,0.9,.586,.275,.533
Devin Harris,WISCONSIN,96,14.8,96,35.0,14.8,4.1,3.1,.447,.375,.778
Gary Harris,MICHIGANST,69,14.9,69,31.0,14.9,3.3,2.0,.440,.376,.788
Joe Harris,VIRGINIA,135,12.6,135,30.3,12.6,3.8,1.9,.445,.407,.722
Manny Harris,MICHIGAN,98,17.0,98,36.1,17.0,5.7,3.7,.406,.318,.827
Tobias Harris,TENNESSEE,34,15.3,34,29.2,15.3,7.3,1.3,.460,.303,.753
Aaron Harrison,KENTUCKY,79,12.4,79,29.2,12.4,2.8,1.6,.410,.335,.787
Andrew Harrison,KENTUCKY,79,10.1,79,28.6,10.1,2.7,3.8,.372,.367,.777
Udonis Haslem,FLORIDA,130,13.7,130,24.9,13.7,6.4,1.1,.584,.000,.666
Spencer Hawes,WASHINGTON,31,14.9,31,28.9,14.9,6.4,1.9,.532,.333,.755
Gordon Hayward,BUTLER,69,14.4,69,33.5,14.4,7.4,1.8,.470,.369,.824
Gerald Henderson,DUKE,103,12.3,103,,12.3,4.2,1.8,.458,.329,.706
John Henson,UNC,109,10.3,109,23.8,10.3,8.1,1.0,.497,.208,.484
Roy Hibbert,GEORGETOWN,136,10.9,136,23.3,10.9,5.9,1.3,.603,1.000,.680
Buddy Hield,OKLAHOMA,132,17.4,132,31.7,17.4,5.0,1.9,.448,.390,.836
George Hill,IUPUI,95,17.0,95,33.3,17.0,5.8,3.3,.529,.404,.785
Jordan Hill,ARIZONA,97,12.5,97,,12.5,7.9,0.8,.578,,.636
Solomon Hill,ARIZONA,139,10.3,139,29.0,10.3,5.6,2.2,.481,.375,.745
Darrun Hilliard,VILLANOVA,132,11.4,132,26.8,11.4,3.0,1.9,.436,.367,.748
Jrue Holiday,UCLA,35,8.5,35,,8.5,3.8,3.7,.450,.307,.726
Justin Holiday,WASHINGTON,123,5.3,123,25.3,5.3,3.6,1.5,.443,.343,.736
Rondae Hollis-Jefferson,ARIZONA,76,10.2,76,27.0,10.2,6.3,1.5,.496,.205,.697
Richaun Holmes,BOWLGREEN,95,11.5,95,26.5,11.5,6.9,0.7,.554,.353,.697
Rodney Hood,MISSST,67,13.3,67,32.8,13.3,4.3,2.1,.455,.396,.773
Al Horford,FLORIDA,109,10.3,109,25.7,10.3,7.9,1.7,.586,.000,.619
Danuel House,TEXASAM,62,15.3,62,31.6,15.3,4.3,2.1,.404,.344,.686
Josh Huestis,STANFORD,135,7.5,135,25.0,7.5,6.2,0.8,.451,.319,.610
Kris Humphries,MINNESOTA,29,21.7,29,34.1,21.7,10.1,0.7,.444,.340,.742
R.J. Hunter,GEORGIAST,99,18.4,99,34.7,18.4,4.8,2.4,.423,.354,.853
Andre Iguodala,ARIZONA,62,9.6,62,25.4,9.6,6.6,3.4,.424,.274,.738
Brandon Ingram,DUKE,36,17.3,36,34.6,17.3,6.8,2.0,.442,.410,.682
Kyrie Irving,DUKE,11,17.5,11,27.5,17.5,3.4,4.3,.529,.462,.901
Jarrett Jack,GATECH,101,12.5,101,32.3,12.5,4.5,5.4,.478,.359,.796
Demetrius Jackson,NOTREDAME,103,12.2,103,31.5,12.2,3.1,3.3,.473,.383,.782
Pierre Jackson,BAYLOR,74,16.7,74,32.8,16.7,3.3,6.5,.441,.379,.808
Reggie Jackson,BOSTONCOLL,99,12.7,99,32.2,12.7,4.4,3.5,.465,.351,.753
Richard Jefferson,ARIZONA,84,11.2,84,26.3,11.2,5.0,2.8,.490,.368,.718
John Jenkins,VANDY,98,16.9,98,30.6,16.9,2.7,1.1,.468,.438,.856
Brice Johnson,UNC,148,11.9,148,21.0,11.9,7.0,0.9,.577,,.715
James Johnson,WAKE,61,14.8,61,,14.8,8.3,1.6,.515,.296,.693
Joe Johnson,ARKANSAS,53,15.0,53,30.3,15.0,6.1,2.4,.466,.406,.753
Stanley Johnson,ARIZONA,38,13.8,38,28.4,13.8,6.5,1.7,.446,.371,.742
Tyler Johnson,FRESNOST,128,10.5,128,27.6,10.5,4.8,2.4,.456,.372,.716
Wesley Johnson,IOWAST,93,13.9,93,35.0,13.9,7.0,1.6,.454,.349,.768
Dahntay Jones,RUTGERS,131,13.8,131,29.8,13.8,4.6,1.4,.452,.344,.745
